RollRate,Roll,DesRoll
7.34167,-4.42045,-0.506657
7.32686,-4.23691,-0.410688
7.30272,-4.05374,-0.317859
7.26954,-3.87117,-0.228188
7.2276,-3.68943,-0.141666
7.17721,-3.50874,-0.0583015
7.11867,-3.32931,0.0218905
7.05227,-3.15134,0.0989467
6.97834,-2.97504,0.172849
6.89718,-2.80058,0.243636
6.80912,-2.62815,0.311313
6.71447,-2.45792,0.375896
6.61356,-2.29006,0.437416
6.50672,-2.12472,0.495906
6.39426,-1.96205,0.551403
6.27652,-1.8022,0.603941
6.15381,-1.64528,0.653545
6.02647,-1.49144,0.700276
5.89481,-1.34078,0.744162
5.75916,-1.19341,0.785254
5.61983,-1.04943,0.823606
5.47713,-0.908931,0.859283
5.33138,-0.772003,0.892301
5.18288,-0.638718,0.922767
5.03193,-0.509146,0.950687
4.87884,-0.383348,0.976162
4.7239,-0.261377,0.999229
4.56739,-0.143279,1.01997
4.40959,-0.0290945,1.03843
4.25078,0.0811453,1.05467
4.09123,0.187415,1.06877
3.93119,0.289695,1.0808
3.77093,0.387975,1.09081
